,word,POS,ranking,Finnish,English
0,able,j,609.0,kykenevä,able
1,absolute,j,3511.0,absoluuttinen,absolute
2,absurd,j,4740.0,absurdi,absurd
3,acceptable,j,4477.0,hyväksyttävä,acceptable
4,accurate,j,4251.0,paikkansapitävä,accurate
5,active,j,4364.0,aktiivi,active
6,actual,j,1620.0,varsinainen,actual
7,adult,j,2849.0,aikuinen,adult
8,aggressive,j,4304.0,aggressiivinen,aggressive
9,alike,r,3786.0,samannäköinen,alike
10,allergic,j,2850.0,allerginen,allergic
11,amazing,j,2032.0,hämmästyttävä,amazing
12,ancient,j,2093.0,muinainen,ancient
13,angry,j,879.0,vihainen,angry
14,annual,j,3336.0,vuosittainen,annual
15,anonymous,j,2891.0,anonyymi,anonymous
16,appropriate,j,2189.0,asianmukainen,appropriate
17,armed,j,2792.0,aseistettu,armed
18,attractive,j,1484.0,viehättävä,attractive
19,authentic,j,4254.0,autenttinen,authentic
20,average,j,3701.0,keskimääräinen,average
21,awful,j,921.0,kaamea,awful
22,awful,r,3152.0,kaamea,awful
23,awkward,j,1399.0,kiusallinen,awkward
24,bad,j,138.0,huono,bad
25,mean,j,2315.0,ilkeä,mean
26,bald,j,1178.0,kalju,bald
27,basic,j,3277.0,perustavanlaatuinen,basic
28,beautiful,j,346.0,kaunis,beautiful
29,beloved,j,2071.0,rakastettu,beloved
30,big,j,120.0,iso,big
31,bitter,j,4099.0,karvas,bitter
32,bizarre,j,4422.0,omituinen,bizarre
33,black,j,451.0,musta,black
34,blind,j,1303.0,sokea,blind
35,blond,j,2742.0,vaaleaverinen,blond
36,bloody,j,2394.0,verinen,bloody
37,blue,j,764.0,sininen,blue
38,bold,j,4369.0,uskalias,bold
39,bored,j,1684.0,ikävystynyt,bored
40,boring,j,1094.0,mälsä,boring
41,brave,j,1565.0,rohkea,brave
42,brief,j,4199.0,lyhytaikainen,brief
43,bright,j,1595.0,kirkas,bright
44,brilliant,j,1698.0,briljantti,brilliant
45,broken,j,4257.0,hajonnut,broken
46,brown,j,1408.0,ruskea,brown
47,brutal,j,4058.0,brutaali,brutal
