index,Summary,word,POS,freq,forms,important,ranking
1,be|v,be,v,318018,"be, am, are, been, being, is, was, were",vital,1
2,I|fw,I,fw,267578,I,vital,2
3,you|fw,you,fw,248266,you,vital,3
4,the|fw,the,fw,176446,the,vital,4
5,a|fw,a,fw,152598,"a, an",vital,5
6,to|fw,to,fw,151270,to,vital,6
7,it|fw,it,fw,117091,it,vital,7
8,not|fw,not,fw,109143,not,vital,8
9,that|fw,that,fw,95271,"that, those",vital,9
10,and|fw,and,fw,90049,and,vital,10
11,of|fw,of,fw,70505,of,vital,11
12,do|v,do,v,67643,"do, did, does, doing, done",vital,12
13,have|v,have,v,62828,"have, had, has, having",vital,13
14,what|fw,what,fw,62015,what,vital,14
15,we|fw,we,fw,61381,we,vital,15
16,in|fw,in,fw,58486,in,vital,16
17,get|v,get,v,56906,"get, gets, getting, got, gotten",vital,17
18,this|fw,this,fw,56116,"this, these",vital,18
19,my|fw,my,fw,53316,"my, mine",vital,19
20,me|fw,me,fw,51927,me,vital,20
21,go|v,go,v,51445,"go, goes, going, gone, went",vital,21
22,oh|u,oh,u,48348,oh,vital,22
23,can|v,can,v,46947,"can, could, cannot",vital,23
24,no|fw,no,fw,43447,no,vital,24
25,on|fw,on,fw,43007,on,vital,25
26,for|fw,for,fw,42850,for,vital,26
27,know|v,know,v,40007,"know, knew, knowing, known, knows",vital,27
28,just|r,just,r,39366,just,vital,28
29,your|fw,your,fw,39164,your,vital,29
30,'s|fw,'s,fw,37343,"'s, '",vital,30
31,all|fw,all,fw,35728,all,vital,31
32,so|r,so,r,35491,so,vital,32
33,with|fw,with,fw,34115,with,vital,33
34,he|fw,he,fw,33653,he,vital,34
35,but|fw,but,fw,30070,but,vital,35
36,yeah|r,yeah,r,28499,yeah,vital,36
37,well|r,well,r,28025,well,vital,37
38,think|v,think,v,25894,"think, thinking, thinks, thought",vital,38
39,here|r,here,r,25170,here,vital,39
40,want|v,want,v,24829,"want, wanted, wanting, wants",vital,40
41,out|r,out,r,24533,out,vital,41
42,about|fw,about,fw,23244,about,vital,42
43,good|j,good,j,22907,"good, better, best",vital,43
44,come|v,come,v,22535,"come, came, comes, coming",vital,44
45,up|r,up,r,22171,up,vital,45
46,say|v,say,v,21603,"say, said, saying, says",vital,46
47,now|r,now,r,21312,now,vital,47
48,at|fw,at,fw,21243,at,vital,48
49,one|m,one,m,21176,"one, ones",vital,49
50,hey|u,hey,u,21166,hey,vital,50
51,they|fw,they,fw,21051,they,vital,51
52,see|v,see,v,20925,"see, saw, seeing, seen, sees",vital,52
53,if|fw,if,fw,19770,if,vital,53
54,how|r,how,r,19474,how,vital,54
55,like|v,like,v,19165,"like, liked, likes, liking",vital,55
56,she|fw,she,fw,19043,she,vital,56
57,look|v,look,v,18129,"look, looked, looking, looks",vital,57
58,make|v,make,v,17038,"make, made, makes, making",vital,58
59,right|j,right,j,16390,right,vital,59
60,guy|n,guy,n,15738,"guy, guys",vital,60
61,take|v,take,v,15582,"take, taken, takes, taking, took",vital,61
62,let|v,let,v,15257,"let, lets, letting",vital,62
63,really|r,really,r,15209,really,vital,63
64,okay|r,okay,r,14801,okay,vital,64
65,her|fw,her,fw,14759,her,vital,65
66,uh|u,uh,u,14667,"uh, um",vital,66
67,tell|v,tell,v,14661,"tell, telling, tells, told",vital,67
68,him|fw,him,fw,14270,him,vital,68
69,why|r,why,r,14194,why,vital,69
70,there|r,there,r,14067,there,vital,70
71,who|fw,who,fw,13916,who,vital,71
72,time|n,time,n,13834,"time, times",vital,72
73,thing|n,thing,n,12547,"thing, things",vital,73
74,from|fw,from,fw,12409,from,vital,74
75,will|v,will,v,11923,"will, willing, would",vital,75
76,like|r,like,r,11556,like,vital,76
77,when|r,when,r,11544,when,vital,77
78,as|fw,as,fw,11415,as,vital,78
79,because|fw,because,fw,11396,because,vital,79
80,some|fw,some,fw,11370,some,vital,80
81,our|fw,our,fw,11333,our,vital,81
82,yes|r,yes,r,11118,yes,vital,82
83,there|fw,there,fw,11044,there,vital,83
84,back|r,back,r,10865,back,vital,84
85,mean|v,mean,v,10833,"mean, meaning, means, meant",vital,85
86,man|n,man,n,10340,"man, men",vital,86
87,little|j,little,j,10258,little,vital,87
88,give|v,give,v,10173,"give, gave, given, gives, giving",vital,88
89,his|fw,his,fw,10145,his,vital,89
90,us|fw,us,fw,10058,us,vital,90
91,them|fw,them,fw,9857,them,vital,91
92,need|v,need,v,9654,"need, needed, needs, needing",vital,92
93,then|r,then,r,9584,then,vital,93
94,shall|v,shall,v,9411,"shall, should",vital,94
95,or|fw,or,fw,9272,or,vital,95
96,talk|v,talk,v,9197,"talk, talked, talking, talks",vital,96
97,okay|j,okay,j,9098,"okay, OK",vital,97
98,something|fw,something,fw,9075,something,vital,98
99,where|r,where,r,8941,where,vital,99
100,great|j,great,j,8778,"great, greater, greatest",vital,100
101,way|n,way,n,8759,"way, ways",vital,101
102,never|r,never,r,8620,never,vital,102
103,call|v,call,v,8413,"call, called, calling, calls",vital,103
104,too|r,too,r,8300,too,vital,104
105,by|fw,by,fw,8133,by,vital,105
106,sorry|j,sorry,j,8050,sorry,vital,106
107,over|fw,over,fw,8041,over,vital,107
108,love|v,love,v,8010,"love, loved, loves, loving",vital,108
109,wait|v,wait,v,7947,"wait, waited, waiting, waits",vital,109
110,more|fw,more,fw,7922,more,vital,110
111,down|r,down,r,7782,down,vital,111
112,day|n,day,n,7704,"day, days",vital,112
113,two|m,two,m,7221,"two, twos",vital,113
114,people|n,people,n,7104,people,vital,114
115,God|u,God,u,7062,God,vital,115
116,very|r,very,r,6974,very,vital,116
117,off|fw,off,fw,6967,off,vital,117
118,work|v,work,v,6741,"work, worked, working, works",vital,118
119,thank|v,thank,v,6716,"thank, thanked, thanking, thanks",vital,119
120,big|j,big,j,6674,"big, bigger, biggest",vital,120
121,try|v,try,v,6611,"try, tried, tries, trying",vital,121
122,dad|n,dad,n,6596,"dad, dads",vital,122
123,maybe|r,maybe,r,6499,maybe,vital,123
124,feel|v,feel,v,6479,"feel, feeling, feels, felt",vital,124
125,friend|n,friend,n,6447,"friend, friends",vital,125
126,even|r,even,r,6221,even,vital,126
127,sure|j,sure,j,6177,"sure, surer, surest",vital,127
128,find|v,find,v,6172,"find, finding, finds, found",vital,128
129,kid|n,kid,n,6056,"kid, kids",vital,129
130,these|fw,these,fw,5950,these,vital,130
131,boy|n,boy,n,5937,"boy, boys",vital,131
132,put|v,put,v,5863,"put, puts, putting",vital,132
133,please|r,please,r,5856,please,vital,133
134,happen|v,happen,v,5854,"happen, happened, happening, happens",vital,134
135,much|fw,much,fw,5811,much,vital,135
136,stop|v,stop,v,5799,"stop, stopped, stopping, stops",vital,136
137,night|n,night,n,5761,"night, nights",vital,137
138,bad|j,bad,j,5716,"bad, worse, worst",vital,138
140,those|fw,those,fw,5686,those,vital,140
139,into|fw,into,fw,5686,into,vital,139
141,any|fw,any,fw,5626,any,vital,141
142,right|u,right,u,5623,right,vital,142
143,first|m,first,m,5605,first,vital,143
144,leave|v,leave,v,5529,"leave, leaves, leaving, left",vital,144
145,year|n,year,n,5520,"year, years",vital,145
146,hear|v,hear,v,5517,"hear, heard, hearing, hears",vital,146
147,right|r,right,r,5334,right,vital,147
148,ever|r,ever,r,5259,ever,vital,148
149,Mr|n,Mr,n,5256,"Mr., Messrs.",vital,149
150,again|r,again,r,5254,again,vital,150
151,use|v,use,v,5245,"use, used, uses, using",vital,151
152,mom|n,mom,n,5205,"mom, moms",vital,152
153,may|v,may,v,5180,"may, might",vital,153
154,hi|u,hi,u,5173,hi,vital,154
155,life|n,life,n,5169,"life, lives",vital,155
156,nice|j,nice,j,5059,"nice, nicer, nicest",vital,156
157,new|j,new,j,5055,"new, newer, newest",vital,157
158,still|r,still,r,5024,still,vital,158
159,kind|n,kind,n,4928,"kind, kinds",vital,159
160,anything|fw,anything,fw,4714,anything,vital,160
161,only|r,only,r,4704,only,vital,161
162,baby|n,baby,n,4676,"baby, babies",vital,162
163,than|fw,than,fw,4671,than,vital,163
164,fine|j,fine,j,4571,"fine, finer, finest",vital,164
165,hello|u,hello,u,4554,hello,vital,165
166,keep|v,keep,v,4549,"keep, keeping, keeps, kept",vital,166
167,girl|n,girl,n,4526,"girl, girls",vital,167
168,help|v,help,v,4519,"help, helped, helping, helps",vital,168
169,believe|v,believe,v,4502,"believe, believed, believes, believing",vital,169
170,woman|n,woman,n,4444,"woman, women",vital,170
171,lot|n,lot,n,4408,"lot, lots",vital,171
172,play|v,play,v,4377,"play, played, playing, plays",vital,172
173,ask|v,ask,v,4367,"ask, asked, asking, asks",vital,173
174,start|v,start,v,4363,"start, started, starting, starts",vital,174
175,home|n,home,n,4348,"home, homes",vital,175
176,nothing|fw,nothing,fw,4330,nothing,vital,176
177,hmm|u,hmm,u,4242,"hmm, hm",vital,177
178,their|fw,their,fw,4191,"their, theirs",vital,178
179,meet|v,meet,v,4185,"meet, meeting, meets, met",vital,179
180,huh|u,huh,u,4127,huh,vital,180
181,show|v,show,v,4075,"show, showed, showing, shown, shows",vital,181
182,around|fw,around,fw,4013,around,vital,182
183,guess|v,guess,v,3988,"guess, guessed, guesses, guessing",vital,183
184,old|j,old,j,3955,"old, older, oldest",vital,184
185,hell|n,hell,n,3890,hell,vital,185
186,before|fw,before,fw,3883,before,vital,186
187,always|r,always,r,3868,always,vital,187
188,three|m,three,m,3861,"three, threes",vital,188
189,wow|u,wow,u,3758,wow,vital,189
190,listen|v,listen,v,3744,"listen, listened, listening, listens",vital,190
191,thanks|u,thanks,u,3726,thanks,vital,191
192,minute|n,minute,n,3718,"minute, minutes",vital,192
193,actually|r,actually,r,3706,actually,vital,193
194,eat|v,eat,v,3701,"eat, ate, eaten, eating, eats",vital,194
195,place|n,place,n,3620,"place, places",vital,195
196,live|v,live,v,3571,"live, lived, lives, living",vital,196
197,away|r,away,r,3498,away,vital,197
198,after|fw,after,fw,3483,after,vital,198
199,bring|v,bring,v,3469,"bring, bringing, brings, brought",vital,199
200,every|fw,every,fw,3463,every,vital,200
201,everything|fw,everything,fw,3375,everything,vital,201
202,money|n,money,n,3352,money,vital,202
203,person|n,person,n,3351,"person, people, persons",vital,203
204,watch|v,watch,v,3351,"watch, watched, watches, watching",vital,204
205,other|j,other,j,3345,other,vital,205
206,remember|v,remember,v,3344,"remember, remembered, remembering, remembers",vital,206
207,house|n,house,n,3327,"house, houses",vital,207
208,wrong|j,wrong,j,3294,wrong,vital,208
209,kill|v,kill,v,3278,"kill, killed, killing, kills",vital,209
210,school|n,school,n,3243,"school, schools",vital,210
211,everyone|fw,everyone,fw,3242,everyone,vital,211
212,run|v,run,v,3229,"run, ran, running, runs",vital,212
213,late|j,late,j,3221,"late, later, latest",vital,213
